💦央视频道,#genre#
CCTV-1综合,http://192.168.31.12:6789/gctv.php?id=cctv1$赣橙TV
CCTV-1综合,http://192.168.31.12:6789/cctv.php?id=cctv1&q=lg$蓝光
CCTV-2财经,http://192.168.31.12:6789/gctv.php?id=cctv2$赣橙TV
CCTV-2财经,http://192.168.31.12:6789/cctv.php?id=cctv2&q=lg$蓝光
CCTV-3综艺,http://192.168.31.12:6789/gctv.php?id=cctv3$赣橙TV
CCTV-4中文国际,http://192.168.31.12:6789/gctv.php?id=cctv4$赣橙TV
CCTV-4中文国际,http://192.168.31.12:6789/cctv.php?id=cctv4&q=lg$蓝光
CCTV-5体育,http://192.168.31.12:6789/gctv.php?id=cctv5$赣橙TV
CCTV-6电影,http://192.168.31.12:6789/gctv.php?id=cctv6$赣橙TV
CCTV-7国防军事,http://192.168.31.12:6789/cctv.php?id=cctv7&q=lg$蓝光
CCTV-8电视剧,http://192.168.31.12:6789/gctv.php?id=cctv8$赣橙TV
CCTV-9纪录,http://192.168.31.12:6789/gctv.php?id=cctv9$赣橙TV
CCTV-9纪录,http://192.168.31.12:6789/cctv.php?id=cctv9&q=lg$蓝光
CCTV-10科教,http://192.168.31.12:6789/gctv.php?id=cctv10$赣橙TV
CCTV-10科教,http://192.168.31.12:6789/cctv.php?id=cctv10&q=lg$蓝光
CCTV-11戏曲,http://192.168.31.12:6789/gctv.php?id=cctv11$赣橙TV
CCTV-12社会与法,http://192.168.31.12:6789/gctv.php?id=cctv12$赣橙TV
CCTV-12社会与法,http://192.168.31.12:6789/cctv.php?id=cctv12&q=lg$蓝光
CCTV-13新闻,http://192.168.31.12:6789/gctv.php?id=cctv13$赣橙TV
CCTV-13新闻,http://192.168.31.12:6789/cctv.php?id=cctv13&q=lg$蓝光
CCTV-14少儿,http://192.168.31.12:6789/gctv.php?id=cctv14$赣橙TV
CCTV-15音乐,http://192.168.31.12:6789/gctv.php?id=cctv15$赣橙TV
CCTV-16奥林匹克,http://192.168.31.12:6789/gctv.php?id=cctv16$赣橙TV
CCTV-17农业农村,http://192.168.31.12:6789/cctv.php?id=cctv17&q=lg$蓝光
CCTV-4K,http://192.168.31.12:6789/cctv.php?id=cctv4k&q=lg$蓝光

中国教育1台,http://192.168.31.12:6789/gctv.php?id=cetv1$赣橙TV
中国教育4台,http://192.168.31.12:6789/gctv.php?id=cetv4$赣橙TV

中国教育1台,http://192.168.31.12:6789/migu720p.php?id=923287154$咪咕
中国教育2台,http://192.168.31.12:6789/migu720p.php?id=923287211$咪咕
中国教育4台,http://192.168.31.12:6789/migu720p.php?id=923287339$咪咕

CCTV-1综合,http://192.168.31.12:6789/migu720p.php?id=608807420$咪咕
CCTV-2财经,http://192.168.31.12:6789/migu720p.php?id=631780532$咪咕
CCTV-3综艺,http://192.168.31.12:6789/migu720p.php?id=624878271$咪咕
CCTV-4中文国际,http://192.168.31.12:6789/migu720p.php?id=631780421$咪咕
CCTV-5体育,http://192.168.31.12:6789/migu720p.php?id=641886683$咪咕
CCTV-5+体育赛事,http://192.168.31.12:6789/migu720p.php?id=641886773$咪咕
CCTV-6电影,http://192.168.31.12:6789/migu720p.php?id=624878396$咪咕
CCTV-7国防军事,http://192.168.31.12:6789/migu720p.php?id=673168121$咪咕
CCTV-8电视剧,http://192.168.31.12:6789/migu720p.php?id=624878356$咪咕
CCTV-9纪录,http://192.168.31.12:6789/migu720p.php?id=673168140$咪咕
CCTV-10科教,http://192.168.31.12:6789/migu720p.php?id=624878405$咪咕
CCTV-11戏曲,http://192.168.31.12:6789/migu720p.php?id=667987558$咪咕
CCTV-12社会与法,http://192.168.31.12:6789/migu720p.php?id=673168185$咪咕
CCTV-13新闻,http://192.168.31.12:6789/migu720p.php?id=608807423$咪咕
CCTV-14少儿,http://192.168.31.12:6789/migu720p.php?id=624878440$咪咕
CCTV-15音乐,http://192.168.31.12:6789/migu720p.php?id=673168223$咪咕
CCTV-17农业农村,http://192.168.31.12:6789/migu720p.php?id=673168256$咪咕
CCTV-4欧洲,http://192.168.31.12:6789/migu720p.php?id=608807419$咪咕
CCTV-4美洲,http://192.168.31.12:6789/migu720p.php?id=608807416$咪咕
CGTN外语纪录,http://192.168.31.12:6789/migu720p.php?id=609006487$咪咕
CGTN阿拉伯语,http://192.168.31.12:6789/migu720p.php?id=609154345$咪咕
CGTN西班牙语,http://192.168.31.12:6789/migu720p.php?id=609006450$咪咕
CGTN法语,http://192.168.31.12:6789/migu720p.php?id=609006476$咪咕
CGTN俄语,http://192.168.31.12:6789/migu720p.php?id=609006446$咪咕
老故事,http://192.168.31.12:6789/migu720p.php?id=884121956$咪咕
中学生,http://192.168.31.12:6789/migu720p.php?id=708869532$咪咕
CGTN,http://192.168.31.12:6789/migu720p.php?id=609017205$咪咕

💦卫视频道,#genre#
北京卫视,http://192.168.31.12:6789/gctv.php?id=bjws$赣橙TV
东方卫视,http://192.168.31.12:6789/gctv.php?id=dfws$赣橙TV
天津卫视,http://192.168.31.12:6789/gctv.php?id=tjws$赣橙TV
重庆卫视,http://192.168.31.12:6789/gctv.php?id=cqws$赣橙TV
黑龙江卫视,http://192.168.31.12:6789/gctv.php?id=hljws$赣橙TV
吉林卫视,http://192.168.31.12:6789/gctv.php?id=jlws$赣橙TV
辽宁卫视,http://192.168.31.12:6789/gctv.php?id=lnws$赣橙TV
内蒙古卫视,http://192.168.31.12:6789/gctv.php?id=nmws$赣橙TV
宁夏卫视,http://192.168.31.12:6789/gctv.php?id=nxws$赣橙TV
甘肃卫视,http://192.168.31.12:6789/gctv.php?id=gsws$赣橙TV
青海卫视,http://192.168.31.12:6789/gctv.php?id=qhws$赣橙TV
陕西卫视,http://192.168.31.12:6789/gctv.php?id=sxws$赣橙TV
河北卫视,http://192.168.31.12:6789/gctv.php?id=hbws$赣橙TV
山西卫视,http://192.168.31.12:6789/sxxl.php?id=sxws$山西
山东卫视,http://192.168.31.12:6789/gctv.php?id=sdws$赣橙TV
安徽卫视,http://192.168.31.12:6789/gctv.php?id=ahws$赣橙TV
河南卫视,http://192.168.31.12:6789/gctv.php?id=hnws$赣橙TV
湖北卫视,http://192.168.31.12:6789/gctv.php?id=hubws$赣橙TV
湖南卫视,http://192.168.31.12:6789/gctv.php?id=hunws$赣橙TV
江西卫视,http://192.168.31.12:6789/gctv.php?id=jxws$赣橙TV
江苏卫视,http://192.168.31.12:6789/gctv.php?id=jsws$赣橙TV
浙江卫视,http://192.168.31.12:6789/gctv.php?id=zjws$赣橙TV
东南卫视,http://192.168.31.12:6789/gctv.php?id=dnws$赣橙TV
广东卫视,http://192.168.31.12:6789/gctv.php?id=gdws$赣橙TV
深圳卫视,http://192.168.31.12:6789/gctv.php?id=szws$赣橙TV
广西卫视,http://192.168.31.12:6789/gctv.php?id=gxws$赣橙TV
云南卫视,http://192.168.31.12:6789/gctv.php?id=ynws$赣橙TV
贵州卫视,http://192.168.31.12:6789/gctv.php?id=gzws$赣橙TV
四川卫视,http://192.168.31.12:6789/gctv.php?id=scws$赣橙TV
新疆卫视,http://192.168.31.12:6789/gctv.php?id=xjws$赣橙TV
兵团卫视,http://192.168.31.12:6789/gctv.php?id=btws$赣橙TV
西藏卫视,http://192.168.31.12:6789/gctv.php?id=xzws$赣橙TV
海南卫视,http://192.168.31.12:6789/gctv.php?id=hinws$赣橙TV
哈哈炫动,http://192.168.31.12:6789/gctv.php?id=hhxd$赣橙TV
金鹰纪实,http://192.168.31.12:6789/gctv.php?id=jyjs$赣橙TV
金鹰卡通,http://192.168.31.12:6789/gctv.php?id=jykt$赣橙TV


东方卫视,http://192.168.31.12:6789/migu720p.php?id=651632648$咪咕
江苏卫视,http://192.168.31.12:6789/migu720p.php?id=623899368$咪咕
广东卫视,http://192.168.31.12:6789/migu720p.php?id=608831231$咪咕
江西卫视,http://192.168.31.12:6789/migu720p.php?id=783847495$咪咕
河南卫视,http://192.168.31.12:6789/migu720p.php?id=790187291$咪咕
陕西卫视,http://192.168.31.12:6789/migu720p.php?id=738910838$咪咕
大湾区卫视,http://192.168.31.12:6789/migu720p.php?id=608917627$咪咕
湖北卫视,http://192.168.31.12:6789/migu720p.php?id=947472496$咪咕
吉林卫视,http://192.168.31.12:6789/migu720p.php?id=947472500$咪咕
青海卫视,http://192.168.31.12:6789/migu720p.php?id=947472506$咪咕
东南卫视,http://192.168.31.12:6789/migu720p.php?id=849116810$咪咕
海南卫视,http://192.168.31.12:6789/migu720p.php?id=947472502$咪咕
海峡卫视,http://192.168.31.12:6789/migu720p.php?id=849119120$咪咕
中国农林卫视,http://192.168.31.12:6789/migu720p.php?id=956904896$咪咕
兵团卫视,http://192.168.31.12:6789/migu720p.php?id=956923145$咪咕
辽宁卫视,http://192.168.31.12:6789/migu720p.php?id=630291707$咪咕






💦江西频道,#genre#
江西都市频道,http://192.168.31.12:6789/gctv.php?id=jxds$赣橙TV
江西经济生活,http://192.168.31.12:6789/gctv.php?id=jxjs$赣橙TV
江西影视旅游,http://192.168.31.12:6789/gctv.php?id=jxys$赣橙TV
江西公共农业,http://192.168.31.12:6789/gctv.php?id=jxgg$赣橙TV
江西少儿,http://192.168.31.12:6789/gctv.php?id=jxse$赣橙TV
江西新闻,http://192.168.31.12:6789/gctv.php?id=jxxw$赣橙TV
江西教育,http://192.168.31.12:6789/gctv.php?id=jxjy$赣橙TV
吉安综合, https://play.jarmt.cn/live/c3756d7171c348539cb9598232390460.m3u8
吉安公共, https://play.jarmt.cn/live/b7431049d491429db72abcad0422f98c.m3u8

💦河北频道,#genre#
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=1893427200&k=590149d139a9820d4a4e5c89383199b1$直播
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.flv?t=1893427200&k=f736eea4cdc99f067c97c69a7396be1b$直播
河北经济生活,http://tv.pull.hebtv.com/jishi/jingjishenghuo.m3u8?t=1893427200&k=ad907331c90d847d7e7ae51764d8a09a$直播
河北经济生活,http://tv.pull.hebtv.com/jishi/jingjishenghuo.flv?t=1893427200&k=08553b9afbefe2ed6051bae727b823e1$直播
河北三农,http://tv.pull.hebtv.com/jishi/nongminpindao.m3u8?t=1893427200&k=f07ae1d5be12d118d136be90e032bfce$直播
河北三农,http://tv.pull.hebtv.com/jishi/nongminpindao.flv?t=1893427200&k=b1279c7829bc691886e411a3a1ad3878$直播
河北都市,http://tv.pull.hebtv.com/jishi/dushipindao.m3u8?t=1893427200&k=49867ab5d80a7564abaf8ee18868992f$直播
河北都市,http://tv.pull.hebtv.com/jishi/dushipindao.flv?t=1893427200&k=5bdd87a50dca9d85e09f09db5ad54a8f$直播
河北影视剧,http://tv.pull.hebtv.com/jishi/yingshijupindao.m3u8?t=1893427200&k=2bbbb53c494c02c044ed8805c541df4e$直播
河北影视剧,http://tv.pull.hebtv.com/jishi/yingshijupindao.flv?t=1893427200&k=f1e1b5a402bb7e693fa616561e8e1a6a$直播
河北少儿科教,http://tv.pull.hebtv.com/jishi/shaoerkejiao.m3u8?t=1893427200&k=d4a455b288ebbc0f53903f4750372b0f$直播
河北少儿科教,http://tv.pull.hebtv.com/jishi/shaoerkejiao.flv?t=1893427200&k=6aec9182a1fcab091bc95e70260a48c1$直播
河北文旅公共,http://tv.pull.hebtv.com/jishi/gonggongpindao.m3u8?t=1893427200&k=0b0e2c7cf0820ad8b22ae063511c4104$直播
河北文旅公共,http://tv.pull.hebtv.com/jishi/gonggongpindao.flv?t=1893427200&k=aba466631fe65a3eb88883321a2e8b53$直播
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8$直播
昌黎综合,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8

💦港澳频道,#genre#
凤凰资讯,http://192.168.31.12:6789/fhws.php?id=1
凤凰卫视,http://192.168.31.12:6789/fhws.php?id=2
凤凰香港,http://192.168.31.12:6789/fhws.php?id=3
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8

💦综合频道,#genre#
经典香港电影,http://192.168.31.12:6789/migu720p.php?id=625703337$咪咕
抗战经典影片,http://192.168.31.12:6789/migu720p.php?id=617432318$咪咕
新片放映厅,http://192.168.31.12:6789/migu720p.php?id=619495952$咪咕
CHC影迷电影,http://192.168.31.12:6789/migu720p.php?id=952383261$咪咕
和美乡途轮播台,http://192.168.31.12:6789/migu720p.php?id=713591450$咪咕
高清大片,http://192.168.31.12:6789/migu720p.php?id=629943678$咪咕
南方影视,http://192.168.31.12:6789/migu720p.php?id=614961829$咪咕
最强综艺趴,http://192.168.31.12:6789/migu720p.php?id=629942228$咪咕
嘉佳卡通,http://192.168.31.12:6789/migu720p.php?id=614952364$咪咕
经典动画大集合,http://192.168.31.12:6789/migu720p.php?id=629942219$咪咕
新动力量创一流,http://192.168.31.12:6789/migu720p.php?id=713589837$咪咕
环球旅游,http://192.168.31.12:6789/migu720p.php?id=958475356$咪咕
钱塘江,http://192.168.31.12:6789/migu720p.php?id=647370520$咪咕
五环传奇,http://192.168.31.12:6789/migu720p.php?id=707671890$咪咕
赛事最经典,http://192.168.31.12:6789/migu720p.php?id=646596895$咪咕
掼蛋精英赛,http://192.168.31.12:6789/migu720p.php?id=631354620$咪咕
体坛名栏汇,http://192.168.31.12:6789/migu720p.php?id=629943305$咪咕
四海钓鱼,http://192.168.31.12:6789/migu720p.php?id=637444975$咪咕
咪咕24小时体育台,http://192.168.31.12:6789/migu720p.php?id=654102378$咪咕
24小时城市联赛轮播台,http://192.168.31.12:6789/migu720p.php?id=915512915$咪咕
武术世界,http://192.168.31.12:6789/migu720p.php?id=958475359$咪咕
